Step,Page,ID,Class,Name,Value,XPath (Absolute),XPath (Relative),CSS Selector
"When the user enters ""JohnDoe"" in the username field",registration.html,username,N/A,username,N/A,/[document][1]/html[1]/body[1]/div[1]/form[1]/input[1],./[document][1]/html[1]/body[1]/div[1]/form[1]/input[1],input#username
"And the user enters ""john.doe@example.com"" in the email field",registration.html,email,N/A,email,N/A,/[document][1]/html[1]/body[1]/div[1]/form[1]/input[2],./[document][1]/html[1]/body[1]/div[1]/form[1]/input[2],input#email
"And the user enters ""Password123!"" in the password field",registration.html,password,N/A,password,N/A,/[document][1]/html[1]/body[1]/div[1]/form[1]/input[3],./[document][1]/html[1]/body[1]/div[1]/form[1]/input[3],input#password
"And the user selects ""Male"" from the gender dropdown",registration.html,gender,N/A,gender,N/A,/[document][1]/html[1]/body[1]/div[1]/form[1]/select[1],./[document][1]/html[1]/body[1]/div[1]/form[1]/select[1],select#gender
"And the user clicks the ""Register"" button",registration.html,rg12345,N/A,N/A,N/A,/[document][1]/html[1]/body[1]/div[1]/form[1]/button[1],./[document][1]/html[1]/body[1]/div[1]/form[1]/button[1],button#rg12345
"When the user clicks the ""Shop Now"" button",dashboard.html,shop-now-button,N/A,N/A,N/A,/[document][1]/html[1]/body[1]/div[1]/button[1],./[document][1]/html[1]/body[1]/div[1]/button[1],button#shop-now-button
"And the user selects the category ""Electronics"" from the category dropdown",shop.html,N/A,N/A,N/A,electronics,/[document][1]/html[1]/body[1]/div[1]/select[1]/option[1],./[document][1]/html[1]/body[1]/div[1]/select[1]/option[1],option
"And the user selects the product ""Smartphone X"" from the product list",shop.html,N/A,N/A,N/A,electronics,/[document][1]/html[1]/body[1]/div[1]/select[1]/option[1],./[document][1]/html[1]/body[1]/div[1]/select[1]/option[1],option
"And the user clicks the ""Add to Cart"" button",shop.html,N/A,add-to-cart-button,N/A,N/A,/[document][1]/html[1]/body[1]/div[1]/div[1]/div[1]/button[1],./[document][1]/html[1]/body[1]/div[1]/div[1]/div[1]/button[1],button.add-to-cart-button
"And the user clicks the ""Proceed to Checkout"" button",shop.html,proceed-to-checkout-button,N/A,N/A,N/A,/[document][1]/html[1]/body[1]/div[1]/button[1],./[document][1]/html[1]/body[1]/div[1]/button[1],button#proceed-to-checkout-button
"When the user enters ""123 Main St"" in the address field",checkout.html,address,N/A,address,N/A,/[document][1]/html[1]/body[1]/div[1]/form[1]/input[1],./[document][1]/html[1]/body[1]/div[1]/form[1]/input[1],input#address
"And the user selects ""Credit Card"" from the payment method dropdown",checkout.html,payment-method,N/A,payment-method,N/A,/[document][1]/html[1]/body[1]/div[1]/form[1]/select[1],./[document][1]/html[1]/body[1]/div[1]/form[1]/select[1],select#payment-method
"And the user enters ""4111 1111 1111 1111"" in the card number field",checkout.html,card-number,N/A,card-number,N/A,/[document][1]/html[1]/body[1]/div[1]/form[1]/input[2],./[document][1]/html[1]/body[1]/div[1]/form[1]/input[2],input#card-number
"And the user enters ""12/25"" in the expiry date field",checkout.html,expiry-date,N/A,expiry-date,N/A,/[document][1]/html[1]/body[1]/div[1]/form[1]/input[3],./[document][1]/html[1]/body[1]/div[1]/form[1]/input[3],input#expiry-date
"And the user enters ""123"" in the CVV field",checkout.html,cvv,N/A,cvv,N/A,/[document][1]/html[1]/body[1]/div[1]/form[1]/input[4],./[document][1]/html[1]/body[1]/div[1]/form[1]/input[4],input#cvv
"And the user clicks the ""Place Order"" button",checkout.html,place-order-button,N/A,N/A,N/A,/[document][1]/html[1]/body[1]/div[1]/form[1]/button[1],./[document][1]/html[1]/body[1]/div[1]/form[1]/button[1],button#place-order-button
